Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=0.5, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch 70500/200000, Loss: 1.111770, t=0.5: mean=-0.0023, std=0.9797, Time/epoch: 0.004s, ETA: 7.9min
Epoch 71000/200000, Loss: 1.127283, t=0.5: mean=0.0046, std=0.9933, Time/epoch: 0.004s, ETA: 7.9min
Epoch 71500/200000, Loss: 1.118841, t=0.5: mean=-0.0224, std=0.9879, Time/epoch: 0.004s, ETA: 7.9min
Epoch 72000/200000, Loss: 1.409725, t=0.5: mean=-0.0538, std=0.9917, Time/epoch: 0.004s, ETA: 7.8min
Epoch 72500/200000, Loss: 1.167851, t=0.5: mean=0.0039, std=1.0055, Time/epoch: 0.004s, ETA: 7.8min
Epoch 73000/200000, Loss: 1.200107, t=0.5: mean=0.0217, std=1.0291, Time/epoch: 0.004s, ETA: 7.8min
Epoch 73500/200000, Loss: 1.234846, t=0.5: mean=-0.0247, std=0.9905, Time/epoch: 0.004s, ETA: 7.7min
Epoch 74000/200000, Loss: 1.188491, t=0.5: mean=-0.0051, std=1.0058, Time/epoch: 0.004s, ETA: 7.7min
Epoch 74500/200000, Loss: 1.302232, t=0.5: mean=0.0596, std=1.0189, Time/epoch: 0.004s, ETA: 7.7min
Epoch 75000/200000, Loss: 1.164736, t=0.5: mean=-0.0179, std=1.0056, Time/epoch: 0.004s, ETA: 7.7min
Epoch 75500/200000, Loss: 1.310540, t=0.5: mean=0.0329, std=0.9655, Time/epoch: 0.004s, ETA: 7.6min
Epoch 76000/200000, Loss: 1.366030, t=0.5: mean=-0.0407, std=0.9987, Time/epoch: 0.004s, ETA: 7.6min
Epoch 76500/200000, Loss: 1.288883, t=0.5: mean=-0.0025, std=1.0141, Time/epoch: 0.004s, ETA: 7.5min
Epoch 77000/200000, Loss: 1.367192, t=0.5: mean=0.0335, std=0.9883, Time/epoch: 0.004s, ETA: 7.5min
Epoch 77500/200000, Loss: 1.248532, t=0.5: mean=0.0015, std=1.0102, Time/epoch: 0.004s, ETA: 7.5min
Epoch 78000/200000, Loss: 1.199561, t=0.5: mean=-0.0082, std=0.9375, Time/epoch: 0.004s, ETA: 7.5min
Epoch 78500/200000, Loss: 1.367252, t=0.5: mean=0.0354, std=0.9914, Time/epoch: 0.004s, ETA: 7.4min
Epoch 79000/200000, Loss: 1.276978, t=0.5: mean=-0.0204, std=1.0111, Time/epoch: 0.004s, ETA: 7.4min
Epoch 79500/200000, Loss: 1.330997, t=0.5: mean=-0.0651, std=1.0098, Time/epoch: 0.004s, ETA: 7.4min
Epoch 80000/200000, Loss: 1.271594, t=0.5: mean=0.0010, std=0.9726, Time/epoch: 0.004s, ETA: 7.3min
Epoch 80500/200000, Loss: 1.343279, t=0.5: mean=-0.0304, std=0.9950, Time/epoch: 0.004s, ETA: 7.3min
Epoch 81000/200000, Loss: 1.619664, t=0.5: mean=0.0583, std=1.0173, Time/epoch: 0.004s, ETA: 7.3min
Epoch 81500/200000, Loss: 1.208211, t=0.5: mean=-0.0340, std=1.0072, Time/epoch: 0.004s, ETA: 7.3min
Epoch 82000/200000, Loss: 1.612517, t=0.5: mean=-0.0038, std=0.9471, Time/epoch: 0.004s, ETA: 7.2min
Epoch 82500/200000, Loss: 1.231387, t=0.5: mean=0.0051, std=0.9990, Time/epoch: 0.004s, ETA: 7.2min
Epoch 83000/200000, Loss: 1.292929, t=0.5: mean=-0.0227, std=1.0051, Time/epoch: 0.004s, ETA: 7.2min
Epoch 83500/200000, Loss: 1.229348, t=0.5: mean=-0.0183, std=1.0147, Time/epoch: 0.004s, ETA: 7.1min
Epoch 84000/200000, Loss: 1.382580, t=0.5: mean=0.0057, std=1.0194, Time/epoch: 0.004s, ETA: 7.1min
Epoch 84500/200000, Loss: 1.263426, t=0.5: mean=0.0392, std=1.0272, Time/epoch: 0.004s, ETA: 7.1min
Epoch 85000/200000, Loss: 1.400582, t=0.5: mean=0.0126, std=1.0147, Time/epoch: 0.004s, ETA: 7.0min
Epoch 85500/200000, Loss: 1.382454, t=0.5: mean=-0.0209, std=0.9979, Time/epoch: 0.004s, ETA: 7.0min
Epoch 86000/200000, Loss: 1.350887, t=0.5: mean=-0.0093, std=1.0108, Time/epoch: 0.004s, ETA: 7.0min
Epoch 86500/200000, Loss: 1.513668, t=0.5: mean=-0.0402, std=1.0069, Time/epoch: 0.004s, ETA: 7.0min
Epoch 87000/200000, Loss: 1.502093, t=0.5: mean=0.0230, std=0.9955, Time/epoch: 0.004s, ETA: 6.9min
Epoch 87500/200000, Loss: 1.372137, t=0.5: mean=-0.0187, std=0.9875, Time/epoch: 0.004s, ETA: 6.9min
Epoch 88000/200000, Loss: 1.237603, t=0.5: mean=0.0208, std=0.9564, Time/epoch: 0.004s, ETA: 6.9min
Epoch 88500/200000, Loss: 1.401040, t=0.5: mean=-0.0247, std=0.9893, Time/epoch: 0.004s, ETA: 6.8min
Epoch 89000/200000, Loss: 1.296263, t=0.5: mean=-0.0218, std=0.9870, Time/epoch: 0.004s, ETA: 6.8min
Epoch 89500/200000, Loss: 1.148838, t=0.5: mean=-0.0317, std=0.9933, Time/epoch: 0.004s, ETA: 6.8min
Epoch 90000/200000, Loss: 1.323183, t=0.5: mean=0.0644, std=1.0221, Time/epoch: 0.004s, ETA: 6.7min
Epoch 90500/200000, Loss: 1.116733, t=0.5: mean=0.0404, std=1.0328, Time/epoch: 0.004s, ETA: 6.7min
Epoch 91000/200000, Loss: 1.200066, t=0.5: mean=0.0384, std=1.0054, Time/epoch: 0.004s, ETA: 6.7min
Epoch 91500/200000, Loss: 1.296269, t=0.5: mean=0.0050, std=0.9972, Time/epoch: 0.004s, ETA: 6.7min
Epoch 92000/200000, Loss: 1.243581, t=0.5: mean=0.0680, std=1.0248, Time/epoch: 0.004s, ETA: 6.6min
Epoch 92500/200000, Loss: 1.382257, t=0.5: mean=0.0174, std=0.9781, Time/epoch: 0.004s, ETA: 6.6min
Epoch 93000/200000, Loss: 1.300252, t=0.5: mean=-0.0301, std=1.0090, Time/epoch: 0.004s, ETA: 6.6min
Epoch 93500/200000, Loss: 1.303701, t=0.5: mean=0.0181, std=0.9886, Time/epoch: 0.004s, ETA: 6.5min
Epoch 94000/200000, Loss: 1.329520, t=0.5: mean=-0.0121, std=0.9567, Time/epoch: 0.004s, ETA: 6.5min
Epoch 94500/200000, Loss: 1.451883, t=0.5: mean=-0.0317, std=1.0036, Time/epoch: 0.004s, ETA: 6.5min
Epoch 95000/200000, Loss: 1.204610, t=0.5: mean=-0.0296, std=1.0521, Time/epoch: 0.004s, ETA: 6.4min
Epoch 95500/200000, Loss: 1.389230, t=0.5: mean=0.0024, std=0.9683, Time/epoch: 0.004s, ETA: 6.4min
Epoch 96000/200000, Loss: 1.286873, t=0.5: mean=-0.0019, std=0.9956, Time/epoch: 0.004s, ETA: 6.4min
Epoch 96500/200000, Loss: 1.299471, t=0.5: mean=-0.0041, std=1.0384, Time/epoch: 0.004s, ETA: 6.3min
Epoch 97000/200000, Loss: 1.427715, t=0.5: mean=0.0075, std=0.9698, Time/epoch: 0.004s, ETA: 6.3min
Epoch 97500/200000, Loss: 1.319896, t=0.5: mean=0.0002, std=0.9700, Time/epoch: 0.004s, ETA: 6.3min
Epoch 98000/200000, Loss: 1.438659, t=0.5: mean=0.0084, std=0.9679, Time/epoch: 0.004s, ETA: 6.2min
Epoch 98500/200000, Loss: 1.261027, t=0.5: mean=0.0115, std=1.0022, Time/epoch: 0.004s, ETA: 6.2min
Epoch 99000/200000, Loss: 1.359143, t=0.5: mean=-0.0049, std=1.0049, Time/epoch: 0.004s, ETA: 6.2min
