Using device: cuda
================================================================================
Time-Dependent 2D Double-Peak Distribution
================================================================================

PHYSICAL PARAMETERS:
  Diffusion coefficient: σ = 0.4
  Time interval: [0, 1.0]

INITIAL CONDITION:
  Type: Single Gaussian
  Mean: μ₀ = [0. 0.]
  Std dev: σ₀ = 0.5
  Strategy: Single blob at origin → evolves to double peaks

NETWORK ARCHITECTURE:
  Base dimension: 16
  Hidden layers: [64, 64, 64]
  Activation: Tanh

TRAINING PARAMETERS:
  Test functions: K = 200
  Batch size: M = 2000
  Epochs: 200000
  Generator LR: 0.01 (with exponential decay γ=0.99999)
  Test function LR: 0.05 (with exponential decay γ=0.99999)
  Test updates: 5 every 1 epochs
================================================================================

Starting training...
--------------------------------------------------------------------------------
/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch 173000, Loss: nan, LR_gen: 1.77e-03, LR_test: 8.86e-03
Epoch 174000, Loss: nan, LR_gen: 1.76e-03, LR_test: 8.78e-03
Epoch 175000, Loss: nan, LR_gen: 1.74e-03, LR_test: 8.69e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 176000, Loss: nan, LR_gen: 1.72e-03, LR_test: 8.60e-03
Epoch 177000, Loss: nan, LR_gen: 1.70e-03, LR_test: 8.52e-03
Epoch 178000, Loss: nan, LR_gen: 1.69e-03, LR_test: 8.43e-03
Epoch 179000, Loss: nan, LR_gen: 1.67e-03, LR_test: 8.35e-03
Epoch 180000, Loss: nan, LR_gen: 1.65e-03, LR_test: 8.26e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 181000, Loss: nan, LR_gen: 1.64e-03, LR_test: 8.18e-03
Epoch 182000, Loss: nan, LR_gen: 1.62e-03, LR_test: 8.10e-03
Epoch 183000, Loss: nan, LR_gen: 1.60e-03, LR_test: 8.02e-03
Epoch 184000, Loss: nan, LR_gen: 1.59e-03, LR_test: 7.94e-03
Epoch 185000, Loss: nan, LR_gen: 1.57e-03, LR_test: 7.86e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 186000, Loss: nan, LR_gen: 1.56e-03, LR_test: 7.78e-03
Epoch 187000, Loss: nan, LR_gen: 1.54e-03, LR_test: 7.71e-03
Epoch 188000, Loss: nan, LR_gen: 1.53e-03, LR_test: 7.63e-03
Epoch 189000, Loss: nan, LR_gen: 1.51e-03, LR_test: 7.55e-03
Epoch 190000, Loss: nan, LR_gen: 1.50e-03, LR_test: 7.48e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 191000, Loss: nan, LR_gen: 1.48e-03, LR_test: 7.40e-03
Epoch 192000, Loss: nan, LR_gen: 1.47e-03, LR_test: 7.33e-03
Epoch 193000, Loss: nan, LR_gen: 1.45e-03, LR_test: 7.26e-03
Epoch 194000, Loss: nan, LR_gen: 1.44e-03, LR_test: 7.19e-03
Epoch 195000, Loss: nan, LR_gen: 1.42e-03, LR_test: 7.11e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 196000, Loss: nan, LR_gen: 1.41e-03, LR_test: 7.04e-03
Epoch 197000, Loss: nan, LR_gen: 1.39e-03, LR_test: 6.97e-03
Epoch 198000, Loss: nan, LR_gen: 1.38e-03, LR_test: 6.90e-03
Epoch 199000, Loss: nan, LR_gen: 1.37e-03, LR_test: 6.83e-03
Epoch 199999, Loss: nan, LR_gen: 1.35e-03, LR_test: 6.77e-03

Training completed!

================================================================================
Final Statistics at Different Times:
--------------------------------------------------------------------------------
t=0.010: mean=(   nan,    nan), std=(nan, nan)
t=0.200: mean=(   nan,    nan), std=(nan, nan)
t=0.500: mean=(   nan,    nan), std=(nan, nan)
t=0.800: mean=(   nan,    nan), std=(nan, nan)
t=1.000: mean=(   nan,    nan), std=(nan, nan)

================================================================================
Generating visualizations...
================================================================================
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.

================================================================================
All done! Generated plots:
  1. double_peak_2d_time_loss.png
  2. double_peak_2d_time_distributions.png
  3. double_peak_2d_mean_evolution.png
================================================================================
